kernels,dimension reduction,accuracy,n_gradients,sparsity
cosine,pca,0.7839195979899497,30,0.9
cosine,dm,0.7814070351758794,30,0.9
cosine,le,0.23115577889447236,30,0.9
pearson,pca,0.7964824120603015,31,0.9
pearson,dm,0.7311557788944724,31,0.9
pearson,le,0.15829145728643215,31,0.9
spearman,pca,0.6934673366834171,31,0.9
spearman,dm,0.7236180904522613,31,0.9
spearman,le,0.19095477386934673,31,0.9
normalized_angle,pca,0.8040201005025126,31,0.9
normalized_angle,dm,0.8115577889447236,31,0.9
normalized_angle,le,0.4221105527638191,31,0.9
gaussian,pca,0.871859296482412,31,0.9
gaussian,dm,0.7537688442211056,31,0.9
gaussian,le,0.4271356783919598,31,0.9
cosine,pca,0.7814070351758794,31,0.9
cosine,dm,0.7763819095477387,31,0.9
cosine,le,0.23869346733668342,31,0.9
pearson,pca,0.7989949748743719,32,0.9
pearson,dm,0.7412060301507538,32,0.9
pearson,le,0.16834170854271358,32,0.9
spearman,pca,0.6984924623115578,32,0.9
spearman,dm,0.7211055276381909,32,0.9
spearman,le,0.17587939698492464,32,0.9
normalized_angle,pca,0.8065326633165829,32,0.9
normalized_angle,dm,0.8115577889447236,32,0.9
normalized_angle,le,0.41708542713567837,32,0.9
gaussian,pca,0.871859296482412,32,0.9
gaussian,dm,0.7537688442211056,32,0.9
gaussian,le,0.41708542713567837,32,0.9
cosine,pca,0.7788944723618091,32,0.9
